# SISYPHUS V4.9.2
#
# Force model: Direct  Coords: Sim:Helio  Input:Helio  Output:Helio
# Files: setup:sisyphus.setup  system: cdr.A2017U1_100clones 
# Unique  DTG:2019Feb07-115219
# N_particles 100  N_planets 9   TESTING 0  User signal 10
# Steps/output 365  Outputs/dump 100   Ndumps 100 
# G=39.4784  M_central = 1  M_tot = 1.00134
# Machine epsilon 1.11022e-15  Energy0 0
# autorandom seed: OFF seed -3753
# Initial time 0 (JD 2458080.5000000000) Softening  0 
# dt -0.002737799079448403 (              -1 d)
# Output starts JD     0.0000000000 days_per_tu/days_per_yr = 1
# Earth (Earth+Moon) is body 2, reference planet (Earth+Moon) is body 2
# Observer: lat +0.00 deg  lon: 0.00 deg  alt: -6371000.0 m 
# Neaten ephemeris by starting on the hour: OFF
# P-R/solar wind drag and radiation pressure are all OFF
# Output planets? 0  Dead particles? OFF  Header? ON  verbose=1
# MOID calculation relative to body 2 (Earth+Moon) is OFF 
# Non-gravitational forces are OFF
# J2 forces are OFF
# Meteoroid ejection is OFF, logging is ON
# Meteor radiant computation is OFF relative to Earth+Moon
# Ejecta production is OFF
# Ingestion of a body during simulation is OFF
# Drag-induced NG forces are OFF
# Minimization output is OFF
# Strict velocities for PR, drag and NG are OFF
# Output elements are computed relative to body -1 (Sun)
# Graveyard: OFF recording of close apps: ON
# Checkpoint files: OFF in directory: ./
# sizeof(): State:48  ParticleData:400  CollData:144  CloseAppData:48
# INTEGRATOR: RADAU
#  RADAU class 2  LL: 12.000000
# post-Newtonian correction: ON
# Density map: OFF  N_r 20 N_theta 36 min_r 0 max_r 2
# Particles removed inside 0.05 and outside 1e+06 from Sun 
# Particles removed inside 0 and outside 1e+06 from Sun 
# Maximum number of particles output: 10000
# Special output formats: POVRAY:0  multisystem:OFF
#      jeremie:OFF
# (output only: km_per_lu 1.49598e+08  days_per_tu 365.257)
# Sample particle 50 has R= 5.55e-16 (8.30e-08 km)  m=0.00e+00 (0.00e+00 M_E) 
t id a e incl lasc aper meanan truean x y z vx vy vz RA Dec name 
-9992.966639 9 -1.27204 18.8388 116.929 335.612 162.888 -2.50727e+06 -93.0182 7675.48 -29473.2 46605 -0.0021088 0.00807609 -0.0127659 279.558 33.8788 A2017U1 
-9992.966639 10 -1.272 18.8396 116.93 335.612 162.889 -2.50741e+06 -93.018 7674.44 -29474.5 46605.6 -0.00210852 0.00807644 -0.0127661 279.557 33.8781 A2017U1_000001 
-9992.966639 11 -1.272 18.8396 116.93 335.612 162.889 -2.50739e+06 -93.018 7674.37 -29474 46605.8 -0.0021085 0.00807631 -0.0127661 279.557 33.8786 A2017U1_000002 
-9992.966639 12 -1.27216 18.8369 116.927 335.612 162.886 -2.50692e+06 -93.0185 7678.05 -29470.7 46603.2 -0.0021095 0.00807539 -0.0127654 279.562 33.8797 A2017U1_000003 
-9992.966639 13 -1.27191 18.8411 116.932 335.612 162.89 -2.50766e+06 -93.0178 7672.48 -29476.3 46607 -0.00210798 0.00807692 -0.0127664 279.554 33.8776 A2017U1_000004 
-9992.966639 14 -1.27196 18.8403 116.931 335.612 162.889 -2.50752e+06 -93.0179 7673.5 -29475.2 46606.4 -0.00210826 0.00807662 -0.0127663 279.555 33.8781 A2017U1_000005 
-9992.966639 15 -1.27222 18.8358 116.925 335.612 162.885 -2.50674e+06 -93.0187 7679.5 -29469.3 46602.2 -0.0021099 0.008075 -0.0127651 279.564 33.8803 A2017U1_000006 
-9992.966639 16 -1.27205 18.8388 116.929 335.612 162.888 -2.50726e+06 -93.0182 7675.68 -29473.4 46604.8 -0.00210886 0.00807615 -0.0127658 279.558 33.8785 A2017U1_000007 
-9992.966639 17 -1.27198 18.8398 116.931 335.612 162.889 -2.50744e+06 -93.018 7674.36 -29474.9 46605.7 -0.00210849 0.00807654 -0.0127661 279.556 33.8779 A2017U1_000008 
-9992.966639 18 -1.27216 18.837 116.926 335.612 162.886 -2.50693e+06 -93.0185 7677.79 -29470.3 46603.5 -0.00210943 0.00807529 -0.0127655 279.562 33.8802 A2017U1_000009 
-9992.966639 19 -1.27223 18.8356 116.925 335.612 162.885 -2.5067e+06 -93.0187 7679.57 -29468.7 46602.2 -0.00210992 0.00807484 -0.0127651 279.564 33.8808 A2017U1_000010 
-9992.966639 20 -1.27221 18.8359 116.926 335.612 162.885 -2.50676e+06 -93.0186 7679.54 -29469.6 46602.2 -0.00210991 0.00807509 -0.0127651 279.564 33.8799 A2017U1_000011 
-9992.966639 21 -1.27205 18.8386 116.929 335.612 162.887 -2.50724e+06 -93.0182 7675.86 -29473.2 46604.7 -0.00210891 0.00807609 -0.0127658 279.559 33.8786 A2017U1_000012 
-9992.966639 22 -1.27209 18.838 116.928 335.612 162.887 -2.50713e+06 -93.0183 7676.56 -29472.2 46604.2 -0.0021091 0.00807581 -0.0127657 279.56 33.8791 A2017U1_000013 
-9992.966639 23 -1.27226 18.8352 116.924 335.612 162.884 -2.50663e+06 -93.0188 7680.11 -29468.1 46601.9 -0.00211007 0.00807468 -0.012765 279.565 33.881 A2017U1_000014 
-9992.966639 24 -1.2721 18.8379 116.928 335.612 162.887 -2.50711e+06 -93.0183 7676.86 -29472.2 46604 -0.00210918 0.00807582 -0.0127656 279.56 33.8789 A2017U1_000015 
-9992.966639 25 -1.27207 18.8384 116.929 335.612 162.887 -2.5072e+06 -93.0182 7676.2 -29473 46604.4 -0.002109 0.00807604 -0.0127657 279.559 33.8786 A2017U1_000016 
-9992.966639 26 -1.27202 18.8393 116.929 335.612 162.889 -2.50734e+06 -93.0181 7674.68 -29473.5 46605.6 -0.00210858 0.00807617 -0.012766 279.557 33.8789 A2017U1_000017 
-9992.966639 27 -1.27211 18.8377 116.928 335.612 162.887 -2.50706e+06 -93.0184 7677.06 -29471.7 46603.9 -0.00210923 0.00807566 -0.0127656 279.56 33.8794 A2017U1_000018 
-9992.966639 28 -1.27198 18.8399 116.931 335.612 162.889 -2.50746e+06 -93.018 7674.13 -29474.9 46605.9 -0.00210843 0.00807654 -0.0127661 279.556 33.878 A2017U1_000019 
-9992.966639 29 -1.27217 18.8367 116.926 335.612 162.886 -2.50689e+06 -93.0185 7678.35 -29470.3 46603.1 -0.00210959 0.00807529 -0.0127654 279.562 33.8799 A2017U1_000020 
-9992.966639 30 -1.27205 18.8388 116.929 335.612 162.888 -2.50725e+06 -93.0182 7675.44 -29473 46605.1 -0.00210879 0.00807602 -0.0127659 279.558 33.879 A2017U1_000021 
-9992.966639 31 -1.27196 18.8402 116.931 335.612 162.889 -2.5075e+06 -93.018 7673.58 -29475 46606.3 -0.00210828 0.00807657 -0.0127662 279.555 33.8782 A2017U1_000022 
-9992.966639 32 -1.27197 18.8401 116.931 335.612 162.889 -2.50749e+06 -93.018 7673.69 -29474.9 46606.2 -0.00210831 0.00807653 -0.0127662 279.556 33.8783 A2017U1_000023 
-9992.966639 33 -1.27217 18.8366 116.927 335.612 162.886 -2.50688e+06 -93.0185 7678.42 -29470.4 46603 -0.00210961 0.00807531 -0.0127653 279.562 33.8798 A2017U1_000024 
-9992.966639 34 -1.27216 18.8369 116.927 335.612 162.886 -2.50692e+06 -93.0185 7678.08 -29470.5 46603.3 -0.00210951 0.00807534 -0.0127654 279.562 33.8799 A2017U1_000025 
-9992.966639 35 -1.27212 18.8376 116.928 335.612 162.887 -2.50705e+06 -93.0184 7677 -29471.5 46604 -0.00210922 0.00807562 -0.0127656 279.56 33.8795 A2017U1_000026 
-9992.966639 36 -1.27212 18.8376 116.928 335.612 162.886 -2.50705e+06 -93.0184 7677.18 -29471.7 46603.8 -0.00210927 0.00807567 -0.0127655 279.561 33.8792 A2017U1_000027 
